name,ticker,searched_at
에스티아이,039440,2026-06-27 16:06:30
삼성전자,005930,2026-06-27 16:06:08
HD건설기계,267270,2026-06-27 14:08:17
파마리서치,214450,2026-06-27 13:30:45
삼성전기,009150,2026-06-27 13:27:51
미창석유공업,003650,2026-06-27 09:20:23
에프에스티,036810,2026-06-25 02:45:58
세진중공업,075580,2026-06-25 02:44:54
한솔테크닉스,004710,2026-06-25 02:43:44
한국카본,017960,2026-06-25 02:42:33
