name,ticker,date,price,shares,market_cap
LS네트웍스,000680,2016-05-16,3320,78803016.0,261626013120.0
LS네트웍스,000680,2016-05-17,3280,78803016.0,258473892480.0
LS네트웍스,000680,2016-05-18,3255,78803016.0,256503817080.0
LS네트웍스,000680,2016-05-19,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-05-20,3345,78803016.0,263596088520.0
LS네트웍스,000680,2016-05-23,3380,78803016.0,266354194080.0
LS네트웍스,000680,2016-05-24,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-05-25,3285,78803016.0,258867907560.0
LS네트웍스,000680,2016-05-26,3285,78803016.0,258867907560.0
LS네트웍스,000680,2016-05-27,3305,78803016.0,260443967880.0
LS네트웍스,000680,2016-05-30,3275,78803016.0,258079877400.0
LS네트웍스,000680,2016-05-31,3480,78803016.0,274234495680.0
LS네트웍스,000680,2016-06-01,3455,78803016.0,272264420280.0
LS네트웍스,000680,2016-06-02,3450,78803016.0,271870405200.0
LS네트웍스,000680,2016-06-03,3425,78803016.0,269900329800.0
LS네트웍스,000680,2016-06-07,3435,78803016.0,270688359960.0
LS네트웍스,000680,2016-06-08,3420,78803016.0,269506314720.0
LS네트웍스,000680,2016-06-09,3385,78803016.0,266748209160.0
LS네트웍스,000680,2016-06-10,3295,78803016.0,259655937720.0
LS네트웍스,000680,2016-06-13,3280,78803016.0,258473892480.0
LS네트웍스,000680,2016-06-14,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-06-15,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-06-16,3270,78803016.0,257685862320.0
LS네트웍스,000680,2016-06-17,3275,78803016.0,258079877400.0
LS네트웍스,000680,2016-06-20,3315,78803016.0,261231998040.0
LS네트웍스,000680,2016-06-21,3295,78803016.0,259655937720.0
LS네트웍스,000680,2016-06-22,3320,78803016.0,261626013120.0
LS네트웍스,000680,2016-06-23,3265,78803016.0,257291847240.0
LS네트웍스,000680,2016-06-24,3175,78803016.0,250199575800.0
LS네트웍스,000680,2016-06-27,3175,78803016.0,250199575800.0
LS네트웍스,000680,2016-06-28,3265,78803016.0,257291847240.0
LS네트웍스,000680,2016-06-29,3255,78803016.0,256503817080.0
LS네트웍스,000680,2016-06-30,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-07-01,3295,78803016.0,259655937720.0
LS네트웍스,000680,2016-07-04,3360,78803016.0,264778133760.0
LS네트웍스,000680,2016-07-05,3335,78803016.0,262808058360.0
LS네트웍스,000680,2016-07-06,3270,78803016.0,257685862320.0
LS네트웍스,000680,2016-07-07,3325,78803016.0,262020028200.0
LS네트웍스,000680,2016-07-08,3315,78803016.0,261231998040.0
LS네트웍스,000680,2016-07-11,3330,78803016.0,262414043280.0
LS네트웍스,000680,2016-07-12,3370,78803016.0,265566163920.0
LS네트웍스,000680,2016-07-13,3360,78803016.0,264778133760.0
LS네트웍스,000680,2016-07-14,3425,78803016.0,269900329800.0
LS네트웍스,000680,2016-07-15,3375,78803016.0,265960179000.0
LS네트웍스,000680,2016-07-18,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-07-19,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-07-20,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-07-21,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-07-22,3295,78803016.0,259655937720.0
LS네트웍스,000680,2016-07-25,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-07-26,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-07-27,3290,78803016.0,259261922640.0
LS네트웍스,000680,2016-07-28,3330,78803016.0,262414043280.0
LS네트웍스,000680,2016-07-29,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-08-01,3310,78803016.0,260837982960.0
LS네트웍스,000680,2016-08-02,3310,78803016.0,260837982960.0
LS네트웍스,000680,2016-08-03,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-08-04,3305,78803016.0,260443967880.0
LS네트웍스,000680,2016-08-05,3320,78803016.0,261626013120.0
LS네트웍스,000680,2016-08-08,3370,78803016.0,265566163920.0
LS네트웍스,000680,2016-08-09,3435,78803016.0,270688359960.0
LS네트웍스,000680,2016-08-10,3390,78803016.0,267142224240.0
LS네트웍스,000680,2016-08-11,3395,78803016.0,267536239320.0
LS네트웍스,000680,2016-08-12,3415,78803016.0,269112299640.0
LS네트웍스,000680,2016-08-16,3420,78803016.0,269506314720.0
LS네트웍스,000680,2016-08-17,3360,78803016.0,264778133760.0
LS네트웍스,000680,2016-08-18,3360,78803016.0,264778133760.0
LS네트웍스,000680,2016-08-19,3390,78803016.0,267142224240.0
LS네트웍스,000680,2016-08-22,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-08-23,3340,78803016.0,263202073440.0
LS네트웍스,000680,2016-08-24,3325,78803016.0,262020028200.0
LS네트웍스,000680,2016-08-25,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-08-26,3320,78803016.0,261626013120.0
LS네트웍스,000680,2016-08-29,3330,78803016.0,262414043280.0
LS네트웍스,000680,2016-08-30,3325,78803016.0,262020028200.0
LS네트웍스,000680,2016-08-31,3330,78803016.0,262414043280.0
LS네트웍스,000680,2016-09-01,3320,78803016.0,261626013120.0
LS네트웍스,000680,2016-09-02,3305,78803016.0,260443967880.0
LS네트웍스,000680,2016-09-05,3300,78803016.0,260049952800.0
LS네트웍스,000680,2016-09-06,3330,78803016.0,262414043280.0
LS네트웍스,000680,2016-09-07,3385,78803016.0,266748209160.0
LS네트웍스,000680,2016-09-08,3365,78803016.0,265172148840.0
LS네트웍스,000680,2016-09-09,3310,78803016.0,260837982960.0
LS네트웍스,000680,2016-09-12,3290,78803016.0,259261922640.0
